date_observacional,holiday,workingday,weathersit,temp,atemp,hum,windspeed,rents,mean_temp_last_3_days,max_temp_last_3_days,stddev_temp_last_3_days,var_temp_last_3_days,min_temp_last_3_days,mean_atemp_last_3_days,max_atemp_last_3_days,stddev_atemp_last_3_days,var_atemp_last_3_days,min_atemp_last_3_days,mean_hum_last_3_days,max_hum_last_3_days,stddev_hum_last_3_days,var_hum_last_3_days,min_hum_last_3_days,mean_windspeed_last_3_days,max_windspeed_last_3_days,stddev_windspeed_last_3_days,var_windspeed_last_3_days,min_windspeed_last_3_days,mean_rents_last_3_days,max_rents_last_3_days,stddev_rents_last_3_days,var_rents_last_3_days,min_rents_last_3_days,mean_temp_last_7_days,max_temp_last_7_days,stddev_temp_last_7_days,var_temp_last_7_days,min_temp_last_7_days,mean_atemp_last_7_days,max_atemp_last_7_days,stddev_atemp_last_7_days,var_atemp_last_7_days,min_atemp_last_7_days,mean_hum_last_7_days,max_hum_last_7_days,stddev_hum_last_7_days,var_hum_last_7_days,min_hum_last_7_days,mean_windspeed_last_7_days,max_windspeed_last_7_days,stddev_windspeed_last_7_days,var_windspeed_last_7_days,min_windspeed_last_7_days,mean_rents_last_7_days,max_rents_last_7_days,stddev_rents_last_7_days,var_rents_last_7_days,min_rents_last_7_days,mean_temp_last_15_days,max_temp_last_15_days,stddev_temp_last_15_days,var_temp_last_15_days,min_temp_last_15_days,mean_atemp_last_15_days,max_atemp_last_15_days,stddev_atemp_last_15_days,var_atemp_last_15_days,min_atemp_last_15_days,mean_hum_last_15_days,max_hum_last_15_days,stddev_hum_last_15_days,var_hum_last_15_days,min_hum_last_15_days,mean_windspeed_last_15_days,max_windspeed_last_15_days,stddev_windspeed_last_15_days,var_windspeed_last_15_days,min_windspeed_last_15_days,mean_rents_last_15_days,max_rents_last_15_days,stddev_rents_last_15_days,var_rents_last_15_days,min_rents_last_15_days
2011-01-15,0,1,1,0.233333,0.248112,0.49875,0.157963,222,0.1829825,0.233333,0.0339248242098123,0.0011508936976666665,0.16087,0.18697025,0.248112,0.04375990931872841,0.0019149296635833336,0.150883,0.5266344999999999,0.599545,0.055914051093322384,0.003126381109666666,0.470417,0.25453,0.304627,0.08364913567395658,0.006997177898999997,0.157963,84.75,54,92.26546844115985,8512.916666666666,222,0.1700267142857143,0.233333,0.030270602850038544,0.0009163093969047617,0.138333,0.17108275,0.248112,0.03904296302335232,0.0015243529616428568,0.116175,0.5084935714285714,0.599545,0.05419342067649033,0.002936926844619049,0.434167,0.248249,0.36195,0.08555165313033601,0.007319085353333331,0.122132,68.125,68,63.4832655114716,4030.125,222,0.2087159285714286,0.363478,0.06736992020577855,0.004538706148532969,0.138333,0.2089758571428571,0.363625,0.0722363023095911,0.005218083371362638,0.116175,0.5387855,0.805833,0.10578382230957192,0.011190217062423086,0.434167,0.21432315714285718,0.36195,0.0777146521975867,0.006039567166191868,0.0895652,103.53333333333333,88,81.81413313696099,6693.552380952379,108
2011-01-16,0,1,1,0.231667,,0.48375,0.188433,251,0.1977175,0.233333,0.04020449996787259,0.0016164018176666672,0.16087,0.19580266666666665,0.248112,0.04903391673457601,0.0024043249903333334,0.150883,0.49768575000000004,0.537826,0.029155686425064106,0.0008500540509166674,0.470417,0.21579866666666667,0.301,0.07534292021373563,0.005676555626333334,0.157963,141.25,54,110.81328139412412,12279.583333333334,222,0.17773175000000002,0.233333,0.03550138951304783,0.0012603486573571424,0.138333,0.17234400000000002,0.248112,0.04199481841846682,0.001763564774,0.116175,0.5010531428571429,0.599545,0.05338358236832921,0.0028498068664761897,0.434167,0.23705314285714288,0.36195,0.08781680498900075,0.007711791238476187,0.122132,91.0,54,90.60747367471564,8209.714285714286,222,0.21024600000000002,0.363478,0.06518918338848205,0.004249629630857145,0.138333,0.2089758571428571,0.363625,0.0722363023095911,0.005218083371362638,0.116175,0.5351164666666667,0.805833,0.10292153772508088,0.010592842927695247,0.434167,0.21259714666666668,0.36195,0.07518547861071755,0.0056528561939226665,0.0895652,112.75,88,87.21505986162404,7606.466666666664,108
2011-01-17,0,1,1,0.175833,0.176771,0.5375,0.194017,117,0.20042575,0.233333,0.037542702418934454,0.001409454504916667,0.16087,0.20443200000000003,0.248112,0.03827323922795142,0.0014648408409999997,0.176771,0.5144565000000001,0.537826,0.02748769243982963,0.000755573235666667,0.48375,0.18013766666666667,0.194017,0.019405724550589018,0.00037658214533333335,0.157963,161.0,54,91.6624241442479,8402.0,117,0.18241925,0.233333,0.031843373613224916,0.001014000443071429,0.150833,0.18100057142857143,0.248112,0.03396438529232812,0.0011535794682857145,0.150883,0.515815,0.599545,0.04551203413017998,0.002071345250666667,0.470417,0.2130627142857143,0.304627,0.06891401340006806,0.004749141242904761,0.122132,98.875,54,89.66515089885415,8039.839285714285,117,0.19902373333333337,0.363478,0.05402059536016488,0.0029182247230666674,0.138333,0.19562914285714286,0.353739,0.057151615034528515,0.0032663071010549456,0.116175,0.5172275999999999,0.696087,0.07082063235466265,0.0050155619671142905,0.434167,0.21483521333333336,0.36195,0.07401270756255178,0.005477880880739809,0.0895652,99.375,88,65.12539187342114,4241.3166666666675,108
2011-01-18,0,1,1,0.216667,0.232333,0.861667,0.146775,9,0.21437499999999998,0.233333,0.0267653884460261,0.0007163860186666674,0.175833,0.21907200000000002,0.248112,0.03747365956241797,0.0014042751609999998,0.176771,0.59541675,0.861667,0.1789389739238399,0.03201915638891665,0.48375,0.171797,0.194017,0.023006991227305963,0.0005293216453333336,0.146775,149.75,9,110.08292328967286,12118.25,117,0.1906485,0.233333,0.031010265231279234,0.0009616365497142857,0.16087,0.19263557142857143,0.248112,0.035828562860084796,0.0012836859166190477,0.150883,0.5699221428571428,0.861667,0.13568733584166773,0.018411053107809525,0.470417,0.20213528571428568,0.304627,0.07297136448569919,0.00532482003490476,0.122132,94.875,9,93.257611715383,8696.982142857143,117,0.18923633333333337,0.233333,0.03010022208666685,0.0009060233696666668,0.138333,0.18695728571428574,0.248112,0.03695904493110962,0.00136597100221978,0.116175,0.5282662666666667,0.861667,0.10523371961527664,0.011074135744066658,0.434167,0.20805094666666665,0.36195,0.07535448873756499,0.005678298972899809,0.0895652,91.75,9,68.24319257869853,4657.133333333333,108
2011-01-19,0,1,1,0.292174,0.298422,0.741739,0.208317,78,0.22908524999999996,0.292174,0.04822472005361981,0.0023256236242500004,0.175833,0.23584200000000002,0.298422,0.06090136501754292,0.003708976261,0.176771,0.656164,0.861667,0.17641078569256094,0.03112076530866666,0.48375,0.18438549999999998,0.208317,0.02643491662555417,0.0006988048170000002,0.146775,113.75,9,101.8147828166421,10366.249999999998,117,0.20603387499999998,0.292174,0.045795319600018695,0.0020972112972678565,0.16087,0.20791528571428572,0.298422,0.05363025220499554,0.0028762039515714288,0.150883,0.5913992499999999,0.861667,0.13953863878382525,0.019471031713642863,0.470417,0.21444742857142854,0.304627,0.06393419278669055,0.004087581007285713,0.146775,99.25,9,91.27626823472322,8331.357142857143,117,0.19562366666666667,0.292174,0.040193919543111196,0.0016155511682380964,0.138333,0.1947442142857143,0.298422,0.04749664495224668,0.0022559312817197804,0.116175,0.548564,0.861667,0.11530975799310557,0.013296340288428575,0.434167,0.2053848133333333,0.36195,0.07453135559831625,0.005554922967322668,0.0895652,89.125,9,67.89096650757988,4609.183333333332,108
2011-01-20,0,0,1,0.261667,0.25505,0.538333,0.195904,83,0.23658525,0.292174,0.051012337961026645,0.0026022586242500003,0.175833,0.24064400000000002,0.298422,0.050644719928800735,0.0025648876566666664,0.176771,0.66980975,0.861667,0.1599739844670064,0.02559167570625,0.5375,0.18625324999999998,0.208317,0.02707245880195099,0.0007329180255833336,0.146775,71.75,9,45.27968639467372,2050.25,117,0.21715137499999998,0.292174,0.047324691993375474,0.002239626472267857,0.16087,0.22142628571428571,0.298422,0.051559520102868454,0.002658384113238096,0.150883,0.58374775,0.861667,0.14070157478228268,0.019796933146214283,0.470417,0.19891557142857144,0.301,0.050080467882056716,0.0025080532632857145,0.146775,106.5,9,86.72617004934884,7521.428571428571,117,0.19973480000000002,0.292174,0.04367637861132719,0.0019076260485999994,0.138333,0.19781050000000006,0.298422,0.050023284965411544,0.0025023290387307688,0.116175,0.5450905333333332,0.861667,0.11474172307458089,0.013165663014123807,0.434167,0.20775868,0.36195,0.07355332255868333,0.005410091259421714,0.0895652,87.5625,9,67.71505864035463,4585.3291666666655,117
2011-01-21,0,0,1,0.1775,0.157833,0.457083,0.353242,75,0.237002,0.292174,0.050353126476913035,0.0025354373460000005,0.1775,0.23590950000000002,0.298422,0.05882998838744292,0.0034609675336666687,0.157833,0.6497055,0.861667,0.1852071847661424,0.03430170128900001,0.457083,0.22605949999999997,0.353242,0.08885488306409127,0.007895190244333335,0.146775,61.25,9,34.98928407384181,1224.2500000000002,75,0.21871387499999997,0.292174,0.045529142442545203,0.002072902811553571,0.16087,0.22241914285714287,0.298422,0.05001858846278575,0.002501859191809524,0.157833,0.582081,0.861667,0.14230571094653932,0.020250915368,0.457083,0.2063787142857143,0.353242,0.06837865903607228,0.004675641011571429,0.146775,111.125,9,83.47700709947448,6968.410714285713,117,0.1964376666666667,0.292174,0.04334004788985862,0.001878359751095238,0.138333,0.19270785714285715,0.298422,0.050210526303458826,0.0025210969516703307,0.116175,0.5464322666666667,0.861667,0.11349787391493077,0.012881767383209524,0.434167,0.21884814666666666,0.36195,0.08221354834233195,0.006759067531036953,0.0895652,87.125,9,67.7759790289549,4593.583333333333,117
2011-01-22,1,0,2,0.0591304,0.0790696,0.4,0.17197,93,0.19761785,0.292174,0.1042859223715742,0.010875553604890002,0.0591304,0.19759364999999998,0.298422,0.09848256704593288,0.009698816011956664,0.0790696,0.53428875,0.741739,0.1494948810637007,0.022348719464250016,0.4,0.23235825,0.353242,0.08198885248770103,0.006722171932249999,0.17197,82.25,93,7.889866919029748,62.249999999999964,75,0.20599642499999996,0.292174,0.07105070927856989,0.005048203288987857,0.0591304,0.2067986571428571,0.298422,0.07381941007004543,0.005449305303089525,0.0790696,0.56485275,0.861667,0.15610293871467357,0.024368127475357135,0.4,0.202077625,0.353242,0.06446462012594306,0.0041556872479821426,0.146775,116.0,93,80.75890043827987,6521.999999999999,117,0.18675649333333333,0.292174,0.05585815701061122,0.0031201337046220952,0.0591304,0.18513197333333334,0.298422,0.05658558853993362,0.003201928830410667,0.0790696,0.5385481999999998,0.861667,0.1195411328528505,0.014290082443742854,0.4,0.22434179999999998,0.36195,0.07543101028016073,0.005689837311885714,0.122132,87.4375,93,67.79180751880472,4595.729166666667,117
2011-01-23,0,1,1,0.0965217,0.0988391,0.436522,0.2466,150,0.148704775,0.261667,0.09006714390358542,0.008112090410949164,0.0591304,0.147697925,0.25505,0.07900257279512589,0.0062414065082491655,0.0790696,0.4579845,0.538333,0.05853641402580104,0.003426511766999996,0.4,0.24192900000000003,0.353242,0.08046731120150591,0.006474988171999999,0.17197,100.25,93,33.97425495871837,1154.2499999999998,150,0.18889501249999996,0.292174,0.07949410007581763,0.006319311946864107,0.0591304,0.18547395714285714,0.298422,0.08109778633267078,0.006576850948059525,0.0790696,0.55707425,0.861667,0.16133021135347567,0.026027437095357132,0.4,0.21315724999999996,0.353242,0.06340784961715253,0.00402055539307143,0.146775,107.0,93,70.63588727713818,4989.428571428571,117,0.18008980666666666,0.292174,0.06039285317550255,0.0036472967146778086,0.0591304,0.17779864666666667,0.298422,0.060299712923089055,0.0036360553786069535,0.0790696,0.5344032666666666,0.861667,0.12207275195230721,0.014901756769209523,0.4,0.22953339999999997,0.36195,0.0739960143548286,0.005475410140399999,0.122132,87.5625,93,67.91265836842692,4612.129166666667,117
2011-01-24,0,1,1,0.0973913,0.11793,0.491739,0.15833,86,0.10763585,0.1775,0.049874018853674366,0.002487417756616666,0.0591304,0.113417925,0.157833,0.03359269403083305,0.0011284690922491666,0.0790696,0.446336,0.491739,0.0383851964086851,0.0014734233033333315,0.4,0.2325355,0.353242,0.08933551985446027,0.007980835107666664,0.15833,101.0,93,33.49626844888845,1122.0,150,0.17211055,0.292174,0.08325942646187277,0.006932132094760001,0.0591304,0.1770309625,0.298422,0.07878815952246229,0.006207574080936966,0.0790696,0.558072875,0.861667,0.16083546646312408,0.02586804727241071,0.4,0.209394375,0.353242,0.06592783146297711,0.004346478961410715,0.146775,86.375,93,40.04974585259116,1603.9821428571427,117,0.17492115,0.292174,0.06189978827243272,0.0038315837881719994,0.0591304,0.17484371333333334,0.298422,0.062172811954800254,0.003865458546366953,0.0790696,0.5314636666666667,0.861667,0.12256577579852886,0.015022369397095241,0.4,0.22230179999999997,0.36195,0.07538099795344408,0.005682294852457141,0.122132,88.6875,93,67.71579702452499,4585.429166666667,117
